,0
134,http://goodreads.com/book/show/13521382-the-violinist-s-thumb
135,http://goodreads.com/book/show/61665.Billions_Billions
136,http://goodreads.com/book/show/29767627-reality-is-not-what-it-seems
137,http://goodreads.com/book/show/31625636-we-have-no-idea
138,http://goodreads.com/book/show/30135182-a-brief-history-of-everyone-who-ever-lived
139,http://goodreads.com/book/show/248764.Climbing_Mount_Improbable
140,http://goodreads.com/book/show/10294187-periodic-tales
141,http://goodreads.com/book/show/38315.Fooled_by_Randomness
142,http://goodreads.com/book/show/61539.The_Structure_of_Scientific_Revolutions
143,http://goodreads.com/book/show/2330343.Quantum_Theory_Cannot_Hurt_You
144,http://goodreads.com/book/show/83518.The_Singularity_is_Near
145,http://goodreads.com/book/show/36086.The_Ghost_Map
146,http://goodreads.com/book/show/2068.Darwin_s_Dangerous_Idea
147,http://goodreads.com/book/show/25776132-the-brain
148,http://goodreads.com/book/show/33297.The_Naked_Ape
149,http://goodreads.com/book/show/6402364-superfreakonomics
150,http://goodreads.com/book/show/222637.The_Seven_Daughters_of_Eve
151,http://goodreads.com/book/show/64666.An_Anthropologist_on_Mars
152,http://goodreads.com/author/show/191995.Derek_Thompson
153,http://goodreads.com/book/show/14990.Spook
154,http://goodreads.com/book/show/36475.Wonderful_Life
155,http://goodreads.com/book/show/98685.Genius
156,http://goodreads.com/book/show/41104077-invisible-women
157,http://goodreads.com/book/show/449573.The_Theory_of_Everything
158,http://goodreads.com/book/show/12391521-the-psychopath-test
159,http://goodreads.com/book/show/2802.E_mc_
160,http://goodreads.com/book/show/327.Why_Zebras_Don_t_Get_Ulcers
161,http://goodreads.com/book/show/41021145-the-botany-of-desire
162,http://goodreads.com/book/show/17375.The_Meaning_of_It_All
163,http://goodreads.com/book/show/35696171-enlightenment-now
164,http://goodreads.com/book/show/7901962-here-s-looking-at-euclid
165,http://goodreads.com/book/show/3450744-nudge
166,http://goodreads.com/book/show/27333.Silent_Spring
167,http://goodreads.com/book/show/485812.Broca_s_Brain
168,http://goodreads.com/book/show/54218.The_Mismeasure_of_Man
169,http://goodreads.com/book/show/10840041-a-planet-of-viruses
170,http://goodreads.com/book/show/22892322-the-universe-in-your-hand
171,http://goodreads.com/book/show/32191737-grunt
172,http://goodreads.com/book/show/25329850-thing-explainer
173,http://goodreads.com/book/show/20663771-origins
174,http://goodreads.com/book/show/52670.One_Two_Three_Infinity
175,http://goodreads.com/book/show/51291.How_to_Lie_with_Statistics
176,http://goodreads.com/book/show/4371507-the-age-of-wonder
