,ISBN,UserID,Rating
155,1400033721,10161,5.0
159,1400033721,13102,3.0
162,1400033721,980,5.0
164,1400033721,11069,4.0
170,1400033721,5601,2.0
180,1400033721,7473,5.0
186,1400033721,2153,5.0
187,1400033721,5651,5.0
190,1400033721,5021,4.0
195,1400033721,11040,4.0
196,1400033721,7742,5.0
198,1400033721,11523,4.0
199,1400033721,13312,2.0
205,1400033721,4024,4.0
212,1400033721,8011,1.0
219,1400033721,5607,5.0
221,1400033721,10101,3.0
223,1400033721,2227,4.0
229,1400033721,6685,5.0
230,1400033721,7147,4.0
232,1400033721,1074,4.0
234,1400033721,1347,4.0
235,1400033721,9165,5.0
238,1400033721,4665,4.0
245,1400033721,4548,4.0
251,1400033721,7656,3.0
254,1400033721,530,5.0
256,1400033721,13178,4.0
258,1400033721,583,5.0
262,1400033721,1254,5.0
270,1400033721,11273,4.0
271,1400033721,12810,5.0
272,1400033721,13834,4.0
273,1400033721,1064,5.0
276,1400033721,3782,5.0
277,1400033721,3570,4.0
281,1400033721,3218,4.0
282,1400033721,4830,4.0
20,375508325,3345,5.0
21,375508325,7901,4.0
23,375508325,7949,4.0
26,375508325,6655,5.0
28,375508325,5084,5.0
38,375508325,6637,5.0
39,375508325,10837,5.0
57,375508325,2717,5.0
60,375508325,10183,4.0
62,375508325,9664,5.0
63,375508325,3169,4.0
65,375508325,7412,5.0
72,375508325,9515,3.0
73,375508325,6263,5.0
78,375508325,6034,2.0
79,375508325,1024,5.0
82,375508325,7355,5.0
87,375508325,11094,5.0
90,375508325,7126,4.0
97,375508325,4536,4.0
98,375508325,9149,5.0
104,375508325,4798,5.0
110,375508325,427,5.0
111,375508325,2386,2.0
114,375508325,6104,5.0
116,375508325,7183,5.0
118,375508325,335,5.0
120,375508325,10492,5.0
121,375508325,2456,5.0
127,375508325,13854,5.0
129,375508325,10931,5.0
133,375508325,2373,4.0
137,375508325,8075,5.0
138,375508325,4012,4.0
139,375508325,1667,3.0
140,375508325,4456,3.0
142,375508325,12681,5.0
155,375508325,13560,5.0
159,375508325,3876,5.0
162,375508325,13315,5.0
164,375508325,11515,4.0
170,375508325,11083,3.0
180,375508325,12694,3.0
186,375508325,4526,4.0
187,375508325,5875,5.0
190,375508325,8153,4.0
195,375508325,2128,4.0
196,375508325,4150,5.0
198,375508325,2073,5.0
199,375508325,7470,3.0
205,375508325,5295,5.0
212,375508325,4362,5.0
219,375508325,12846,4.0
221,375508325,6722,5.0
223,375508325,5904,5.0
229,375508325,2676,5.0
230,375508325,6414,5.0
232,375508325,402,5.0
234,375508325,793,5.0
235,375508325,12970,5.0
238,375508325,13156,4.0
245,375508325,5790,5.0
251,375508325,10295,4.0
254,375508325,8219,5.0
256,375508325,5149,5.0
258,375508325,10334,5.0
262,375508325,11930,4.0
270,375508325,492,5.0
271,375508325,513,5.0
272,375508325,10624,4.0
273,375508325,11463,4.0
276,375508325,715,5.0
277,375508325,3558,5.0
281,375508325,13800,4.0
282,375508325,956,4.0
20,385530803,8421,3.0
21,385530803,13155,5.0
23,385530803,2172,2.0
26,385530803,1318,2.0
28,385530803,4509,4.0
38,385530803,1473,4.0
39,385530803,2468,4.0
57,385530803,9315,3.0
60,385530803,9351,5.0
62,385530803,12392,5.0
63,385530803,7691,5.0
65,385530803,4078,4.0
72,385530803,8938,4.0
73,385530803,5868,4.0
78,385530803,3438,4.0
79,385530803,4373,4.0
82,385530803,641,4.0
87,385530803,948,5.0
90,385530803,831,4.0
97,385530803,7863,4.0
98,385530803,1672,2.0
104,385530803,13171,1.0
110,385530803,12769,5.0
111,385530803,11402,4.0
114,385530803,10979,3.0
116,385530803,3225,5.0
118,385530803,11285,4.0
120,385530803,5774,4.0
121,385530803,6289,4.0
127,385530803,10223,3.0
129,385530803,3993,3.0
133,385530803,5492,4.0
137,385530803,5023,1.0
138,385530803,9609,4.0
139,385530803,1628,4.0
140,385530803,6605,5.0
142,385530803,7505,5.0
155,385530803,10403,4.0
159,385530803,2909,4.0
162,385530803,12150,3.0
164,385530803,3622,2.0
170,385530803,12391,3.0
180,385530803,3551,3.0
186,385530803,5535,4.0
187,385530803,10904,5.0
190,385530803,11504,5.0
195,385530803,13789,4.0
196,385530803,6644,5.0
198,385530803,8089,4.0
199,385530803,12492,4.0
205,385530803,2942,4.0
212,385530803,6518,2.0
219,385530803,2836,3.0
221,385530803,4354,3.0
223,385530803,5542,4.0
229,385530803,6606,3.0
230,385530803,2634,5.0
232,385530803,11775,4.0
234,385530803,5609,5.0
235,385530803,12806,3.0
238,385530803,5872,2.0
245,385530803,13141,5.0
251,385530803,13451,5.0
254,385530803,13190,3.0
256,385530803,12316,5.0
258,385530803,7837,4.0
262,385530803,11700,3.0
270,385530803,963,3.0
271,385530803,1510,3.0
272,385530803,6751,5.0
273,385530803,972,5.0
276,385530803,5085,4.0
277,385530803,6857,5.0
281,385530803,8772,4.0
282,385530803,3661,3.0
20,385664230,7101,5.0
21,385664230,6360,4.0
23,385664230,11131,3.0
26,385664230,7248,3.0
28,385664230,1939,3.0
38,385664230,4685,3.0
39,385664230,10276,3.0
57,385664230,2473,4.0
60,385664230,10404,5.0
62,385664230,1283,4.0
63,385664230,6199,3.0
65,385664230,2974,4.0
72,385664230,8776,4.0
