,UserID,ISBN,Rating
2596,4153,1771642483,5.0
2597,4153,1771642483,5.0
2598,4153,1771642483,5.0
2599,4153,1771642483,5.0
2600,4153,1771642483,5.0
2601,4153,1771642483,5.0
2602,4153,1771642483,5.0
2605,4153,1771641495,5.0
2628,4153,1594205078,5.0
2631,4153,1439170916,5.0
2632,4153,1439170916,5.0
2633,4153,1439170916,5.0
2634,4153,1439170916,5.0
2635,4153,1439170916,5.0
2636,4153,1439170916,5.0
2638,4153,1627790365,3.0
2639,4153,1627790365,3.0
2640,4153,1627790365,3.0
2641,4153,1627790365,3.0
2642,4153,1627790365,3.0
2643,4153,1627790365,3.0
2644,4153,1627790365,3.0
2653,4153,1594205213,3.0
2683,6700,1565126831,4.0
2684,6700,1565126831,4.0
2685,6700,1565126831,4.0
2686,6700,1565126831,4.0
2687,6700,1565126831,4.0
2688,6700,1565126831,4.0
2689,6700,1565126831,4.0
2752,1951,039335038X,5.0
2753,1951,039335038X,5.0
2754,1951,039335038X,5.0
2755,1951,039335038X,5.0
2756,1951,039335038X,5.0
2757,1951,039335038X,5.0
2758,1951,039335038X,5.0
2834,9875,1101874937,3.0
2835,9875,1101874937,3.0
2836,9875,1101874937,3.0
2837,9875,1101874937,3.0
2838,9875,1101874937,3.0
2908,1790,1771641495,1.0
2909,1790,1771641495,1.0
2910,1790,1771641495,1.0
2911,1790,1771641495,1.0
2912,1790,1771641495,1.0
2913,1790,1771641495,1.0
2914,1790,1771641495,1.0
2915,1790,1771641495,1.0
2959,6706,159420229X,4.0
2960,6706,159420229X,4.0
2961,6706,159420229X,4.0
2962,6706,159420229X,4.0
2963,6706,159420229X,4.0
2964,6706,159420229X,4.0
2965,6706,159420229X,4.0
3060,10125,1473637465,5.0
3061,10125,1473637465,5.0
3062,10125,1473637465,5.0
3063,10125,1473637465,5.0
3064,10125,1473637465,5.0
3065,10125,1473637465,5.0
3066,10125,1473637465,5.0
3101,10125,039333810X,4.0
3102,10125,039333810X,4.0
3103,10125,039333810X,4.0
3104,10125,039333810X,4.0
3105,10125,039333810X,4.0
3106,10125,039333810X,4.0
3107,10125,039333810X,4.0
3108,10125,039333810X,4.0
3114,1006,902543522X,3.0
3115,1006,902543522X,3.0
3116,1006,902543522X,3.0
3117,1006,902543522X,3.0
3118,1006,902543522X,3.0
3119,1006,902543522X,3.0
3120,1006,902543522X,3.0
3121,1006,902543522X,3.0
3219,3891,145162445X,4.0
3220,3891,145162445X,4.0
3221,3891,145162445X,4.0
3222,3891,145162445X,4.0
3223,3891,145162445X,4.0
3224,3891,145162445X,4.0
3225,3891,145162445X,4.0
3295,6820,1585422207,4.0
3296,6820,1585422207,4.0
3297,6820,1585422207,4.0
3298,6820,1585422207,4.0
3299,6820,1585422207,4.0
3300,6820,1585422207,4.0
3370,2315,039330700X,4.0
3371,2315,039330700X,4.0
3372,2315,039330700X,4.0
3373,2315,039330700X,4.0
3374,2315,039330700X,4.0
3375,2315,039330700X,4.0
3376,2315,039330700X,4.0
3379,2315,014311526X,4.0
3407,2315,059306173X,4.0
3408,2315,059306173X,4.0
3409,2315,059306173X,4.0
3410,2315,059306173X,4.0
3411,2315,059306173X,4.0
3412,2315,059306173X,4.0
3413,2315,059306173X,4.0
